Station_Name,Station ID,Longitude,Latitude
Stockholm E4 Skonertvägen,157993,18.00404,59.3133
Stockholm E4/E20 Lilla Essingen,18644,18.00439,59.325527
Stockholm Folkungagatan 57,155527,18.075712,59.314575
Stockholm Hornsgatan 85 Gatunivå,18639,18.049046,59.31709
Stockholm Hornsgatan 108 Gata,8780,18.04866,59.317223
Stockholm Hornsgatan 108 Tak,18638,18.04866,59.317223
Stockholm Norrlandsgatan 29,13349,18.070845,59.33644
Stockholm Sveavägen 59 Gata,8779,18.058254,59.340828
Stockholm Sveavägen 59 Tak,18640,18.058254,59.340828
Stockholm Sveavägen 88 Gata,18641,18.058495,59.341076
Stockholm Torkel Knutssongatan,8781,18.057808,59.316006
